Groups:
uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data =, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[11], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[10], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[9], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[8], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[7], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[6], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[5], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[4], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[3], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[2], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[1], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[0],  binary

Data:
time unit: s, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[11], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[10], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[9], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[8], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[7], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[6], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[5], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[4], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[3], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[2], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[1], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[0], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|rx_on, 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
2, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
3, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
4, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
5, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
6, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
7, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
8, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
9, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
10, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
11, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
12, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
13, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
14, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
15, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
16, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
17, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
18, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
19, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
20, 110001001111, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
21, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
22, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
23, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
24, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
25, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
26, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
27, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
28, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
29, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
30, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
31, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
32, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
33, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
34, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
35, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
36, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
